"","voted","Freq","year","group"
"1","0",50.4,"2010","All adults"
"2","1",49.6,"2010","All adults"
"3","0",79.3,"2010","Adults ages 18-29"
"4","1",20.7,"2010","Adults ages 18-29"
"5","0",39.8,"2012","All adults"
"6","1",60.2,"2012","All adults"
"7","0",55.1,"2012","Adults ages 18-29"
"8","1",44.9,"2012","Adults ages 18-29"
"9","0",49.9,"2014","All adults"
"10","1",50.1,"2014","All adults"
"11","0",76.8,"2014","Adults ages 18-29"
"12","1",23.2,"2014","Adults ages 18-29"
"13","0",47.2,"2016","All adults"
"14","1",52.8,"2016","All adults"
"15","0",62,"2016","Adults ages 18-29"
"16","1",38,"2016","Adults ages 18-29"
"17","0",46.7,"2018","All adults"
"18","1",53.3,"2018","All adults"
"19","0",69.2,"2018","Adults ages 18-29"
"20","1",30.8,"2018","Adults ages 18-29"
"21","0",40.1,"2020","All adults"
"22","1",59.9,"2020","All adults"
"23","0",62,"2020","Adults ages 18-29"
"24","1",38,"2020","Adults ages 18-29"
